Enr;UnitePaysage;ID_PUGE;IDZone;Utilisation;Potentialite;Utilisateur;Probleme;Causes;Consequences;Solutions
196;Carriere de pierre;204;170101;Acces libre;"Carriere de pierre et sable de TCHOUOU 
350 camions par saison ";;"Extracteur de sable non identifies   
aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  
certains sites sont deacces difficile  
conflits familiaux au site de Ntoungha  ";;;"Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   
identifier et recenser les extracteurs de sable   
definir le mode de gestion des carrieres   
recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   
Amenager les voies deacces  "
197;Carriere de sable;205;170101;Acces libre;"Carriere sable Mekoue Leuh 
100 camions par saison";;"Extracteur de sable non identifies   
aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  
certains sites sont deacces difficile  
conflits familiaux au site de Ntoungha  ";;;"Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   
identifier et recenser les extracteurs de sable   
definir le mode de gestion des carrieres   
recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   
Amenager les voies deacces  "
198;Carriere de sable;206;170101;Acces libre;"Carriere sable Koon-Mafofe et Koupetchi 
50 camions par an  
";;"Extracteur de sable non identifies   
aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  
certains sites sont deacces difficile  
conflits familiaux au site de Ntoungha  ";;;"Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   
identifier et recenser les extracteurs de sable   
definir le mode de gestion des carrieres   
recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   
Amenager les voies deacces  "
199;Carriere de sable;207;170101;Acces libre;"Carriere de sable de Zaaji 
25 camions par saison";;"Extracteur de sable non identifies   
aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  
certains sites sont deacces difficile  -conflits familiaux au site de Ntoungha  ";;;"Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   
identifier et recenser les extracteurs de sable   
definir le mode de gestion des carrieres   
recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   
Amenager les voies deacces  "
200;Carriere de pierre;208;170101;Proprietaire s des sites ;"Carriere de pierres  de NTOUNGHA 
200 camions par an  
";;"Extracteur de sable non identifies   
aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  
certains sites sont deacces difficile  -conflits familiaux au site de Ntoungha  ";;;"Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   
identifier et recenser les extracteurs de sable   
definir le mode de gestion des carrieres   
recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   
Amenager les voies deacces  "
201;Massif rocheux;209;170101;Terrain prive  ;"Massif granitique de Ndjinha 
Environ  1ha";;"Extracteur de sable non identifies   
aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  
certains sites sont deacces difficile  -conflits familiaux au site de Ntoungha ";;;"Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   
identifier et recenser les extracteurs de sable   
definir le mode de gestion des carrieres   
recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   
Amenager les voies deacces  "
202;Massif rocheux;210;170101;Terrain prive  ;"massif pierreux  de DJINKA K 
Environ 1,5 ha  
";;"Extracteur de sable non identifies   
aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  
certains sites sont deacces difficile  -conflits familiaux au site de Ntoungha";;;"Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   
identifier et recenser les extracteurs de sable   
definir le mode de gestion des carrieres   
recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   
Amenager les voies deacces  "
203;Massif rocheux;211;170101;Acces libre  ;"massif pierreux de MAKA  
Environ 1,5 km2 
";;"Extracteur de sable non identifies   
aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  
certains sites sont deacces difficile  -conflits familiaux au site de Ntoungha  ";;;"Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   
identifier et recenser les extracteurs de sable   
definir le mode de gestion des carrieres   
recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   
Amenager les voies deacces  "
204;Carriere de pierre;212;170101;Acces libre ;"carriere de pierres de NGUEDA 
Environ 1 ha. ";;"Extracteur de sable non identifies   
aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sable  
certains sites sont deacces difficile  -conflits familiaux au site de Ntoungha  ";;;"Prendre une mesure au niveau de la mairie  pour rentabiliser les carrieres de sable   
identifier et recenser les extracteurs de sable   
definir le mode de gestion des carrieres   
recruter ou  affecter un agent de la mairie e la gestion des carrieres de sable   
Amenager les voies deacces  "
205;Laterite;213;170101;Terrain prive  ;"Carriere de laterite (e cheval entre Bamepaah et Nfindo) 
Environ 2 ha ";;Une aire de jeu existante sur le site ;;;
207;Zones de peturage  ;215;170101;"Peturage communaut aire  
";"Peturages des monts BAMBOUTOS
Environ 17 Km2 
";;envahissement par les especes indesirables  -destruction des galeries forestieres  ;;;"Classer la partie  sensible des monts Bamboutos comme zone e ecologie integrale  
"
208;Zone de foret ( Foret Sacre, Foret Galerie, Reserve forestiere) ;216;170101;"Chef Bamedou  
";"Galerie forestieres de MBIDOU
04  ha ";;"Exploitation clandestine  
baisse de la biodiversite floristique ";;;Mettre sur pied un comite de surveillance de la foret et de reboisement 
415;Bas-fond;505;170103;"Cultures maraecheres
Extraction du vin de raphia 
Utilisation du bambou pour construction et artisanal.
";"1/7eme de la superficie
Presence des raphias
Presence des cours deeau";;"Acces et exploitation difficiles en saison de pluies
Difficultes deevacuer les produits des bas-fonds
Conflits agropastoraux en saison seche";"Sol fertile
Sols hydraumorphes
Predominance de raphia ";;"Proceder e des amenagements pour une exploitation en continue 
Amenager les voies deacces
Definir les couloirs de passage pour abreuvement des animaux 
Cleture des parcelles cultivees "
416;Zone de polyculture;506;170103;"Elevage domestique
Habitat
Agriculture de subsistance
";"4/7 de la superficie
Presence des ponts deeau
Temperance favorable e la vie
";;"Surexploitation des sols
Divagation des betes ";" Diversite des cultures
zone dehabitation";;"Utiliser les methodes de restauration des sols 
Claustrer les animaux deelevage"
417;Zones de peturage  ;507;170103;"Habitat des bororos 
Elevage bovin";2/7 de la superficie ;;"Envahissement par des champs de culture
Envahissement par le BOKASSA GRASS ";"Flancs des collines 
sol ferralitique ";;"Proceder e la delimitation des zones deelevage 
Former les eleveurs aux methodes deelevage intensif (stabulation)
Saisir la recherche e propos du BOKASSA GRASS
"
418;Lac;508;170103;"Extraction du sable
Abreuvement du betail
Arrosage des cultures maraicheres 
Usage domestique
peche";"Les cours deeau deenvergure MIFI NELEUP NOUN
1,8 milliard de M3 pour Le lac du barrage de BAMENDJING";;"Pollution par les produits phytosanitaires 
Baisse tres prononce un debit des cours deeau en saison seche
Pauvre en ressources halieutiques des eaux du lac du barrage";Lit sablonneux ;;"Formation des maraichers aux techniques de manipulation des pesticides 
Renforcer la production piscicole des eaux du barrage en renforeant les activites du centre dealevinage et peche de BAMENDJING"
103;Forets deEucalyptus;440;170104;;;;;La degradation des sols se traduit concretement par une erosion/perte de leur couche superficielle et une diminution de leur productivite agropastorale et des changements dans leurs proprietes biologiques, chimiques, physiques et hydrologiques. Le phenomene deerosion existe dans la quasi-totalite de leespace communal du fait du caractere eleve de son relief;;seagissant particulierement de cette espece, des recherches ont prouve que les especes Grevilla et podocarpus  entre autres  ont les memes proprietes que leeucalyptus e la seule difference queelles consomment des quantites tres reduites deeau. 
104;Zones de peturage  ;441;170104;;;;;La degradation de la vegetation  se traduit en une modification de la structure du paysage avec un declin sensible de la quantite et de la qualite des couvertures vegetales.  Bien que se resumant e des forets tertiaires deeucalyptus,  La foret naturelle est quasi inexistante ce qui accentue la degradation des terres e travers une protection moindre des sols, une limitation de la reconstitution organique des sols, une capacite deinfiltration des eaux amoindrie car un eucalyptus tres gourmand en eau. ;;
105;Zone d'elevage;442;170104;;;;;La degradation des ressources en eau est caracterisee par le retrecissement de certains cours deeau, notamment dans les hauteurs de Balatchi oe certains agriculteurs devient les lits des cours deeau. Par ailleurs, ces derniers utilisent des motopompes pour learrosage de leurs plantations, ce qui a une incidence sur le potentiel hydraulique des  villages situes en aval. ;;
106;Zone de foret ( Foret Sacre, Foret Galerie, Reserve forestiere) ;443;170104;;;;;C'est une pratique courante utilisee par les eleveurs, les agriculteurs. Le passage repete de ces feux de brousse, a des effets negatifs sur la vegetation dont la croissance est fortement affectee. On aboutit au fil des annees e leappauvrissement de la composition floristique desormais favorable aux essences pyroresistantes et au denudement de grands espaces autrefois boises. ;;
107;Rafia;444;170104;;;;;"Contrairement e leeucalyptus dont leune des caracteristiques principale est le dessechement des sols, le raphia de par ses proprietes  fixe dans le sol des molecules deeau. 
 Cette espece est aujourdehui en voie de disparition pour des multiples raisons au nombre desquelles : 
la coupe abusive des bambous et nattes qui constituent les matieres premieres locales pour la construction et leartisanat ; 
la cueillette incontrelee de vin de raphia e des fins de consommation et qui constitue une source de revenue  pour ceux qui la pratique ; 
la destruction des raphias e des fins agricoles notamment, la creation des champs de cultures vivrieres et maraicheres. 
 Ces pratiques ont pour consequences : 
la disparition progressive du raphia en tant que ressource naturelle ; 
le delaissement de leartisanat local et la perte deidentite culturelle ; 
la rarefaction progressive du vin de raphia avec pour consequence la perte de devises et la fragilite de leeconomie locale ; ? leassechement du milieu et des cours deeau ; 
la disparition du couvert vegetal ; 
la rarefaction de leeau pour les populations humaines, vegetales et animales ; 
la disparition de la biodiversite et, 
la degradation de leenvironnement ";;
108;;445;170104;;;;;;;seagissant de la regeneration des forets, le legislateur camerounais a pris les mesures allant dans le sens deun reboisement des espaces communaux. En effet, la loi ne94/01 du 20 janvier 1994 dispose dans son article 33 que e chaque commune est tenue de respecter dans les villes un taux de boisement au moins egale e 800 m2 de forets par population de 1000 habitants. Il y a lieu de releve pour seen feliciter, les decisions prises par leexecutif communal de Mbouda qui a entame en 2010 un vaste chantier de reboisement des Monts Bamboutos et dont la premiere phase a consiste e planter 3,5 hectares de forets
168;Bas-fond;176;170201;Cultures maraecheres;5%  de  la superficie  de  la Commune;;"Pratique  de  leagriculture traditionnelle
Pollution  des  cours  deeau par les engrais chimiques";;Pratique  des  cultures maraicheres e court cycle;Formation  des maraechers   aux techniques modernes
169;Bas-fond;177;170201;Extraction du sable;1%  de  la superficie   de  la Commune;;"Difficultes  deacces  aux differentes carrieres
Absence de recettes liees e leextraction du sable
Penibilite  des  travaux deextraction";;Exploitation  traditionnelle necessitant  un  enorme effort  physique  des exploitants;"Amenager  les  voies deacces
Promouvoir  leutilisation des richesses locales"
170;Bas-fond;178;170201;Pratique  de  la pisciculture;0,5%  des  zones de bas fonds;;"Pratique  de  la  pisciculture traditionnelle et archaeque
Insuffisance  de  moyens techniques
 Productivite faible";;;Formation  des pisciculteurs  aux techniques  modernes  de pisciculture
172;Plateaux;180;170201;Construction dehabitations;20%  de  la superficie  de  la Commune;;"Construction anarchique des habitats
Insalubrite  augmentant autour des habitats 
Litiges  fonciers  dus  e  des incomprehensions  sur  les limites des terres";;Nettoyage des alentours des   domiciles  par  les particuliers;"Assainissement  des villages et quartiers
Elaborer  une  politique efficace deurbanisation"
175;Savane ;183;170201;Construction dehabitations;20%  de  la superficie  de  la Commune;;"Absence  deun  plan  de lotissement
Litige  foncier  surtout  en zone urbaine";;Reglement  des  litiges fonciers  par  le  tribunal coutumier;Realisation  deun  plan  de lotissement
176;Savane ;184;170201;Culture vivriere;20%  de  la superficie  de  la Commune;;"Terre  rendue  peu  fertile  par la non-pratique de la jachere
Utilisation  des  engrais insuffisamment efficace";;"Pratique de la jachere
Deversement  des ordures  menageres  dans les champs";Faire  le  tri  des  ordures dans le but de separer les dechets  organiques  des dechets plastiques
177;Savane ;185;170201;Culture du cafe;20%  de  la superficie  de  la Commune;;Faible utilisation des engrais;;Utilisation  deengrais organique :  dechets  de cafe;Usage de nouveaux types deengrais pour accroitre la productivite
179;Savane ;187;170201;Ravitaillement  en  bois de chauffage;2%  de  la superficie  de  la Commune;;"Rarete du bois de chauffage
Rarefaction  acceleree  de  la foret";;Creation  de  champs  de reboisement  et  de ravitaillement en bois pour diverses  taches : Eucalyptus  (20%  des forets de la Commune);Presenter aux populations les  autres  varietes dearbres  e  planter  pour  le reboisement  et  le ravitaillement en bois
180;Zone de colline;188;170201;"Culture  du  cafe  sur  les flans
Culture  du  palmier  e huile";10%  de  la superficie  de  la Commune;;"Acces difficile
Insuffisance  de  moyens techniques et financiers pour accroitre les champs";;Deplacement  des populations e pieds;Faciliter  leaccessibilite  en traeant des routes sur les flancs des forets
181;Rocher;189;170201;Carrieres de pierres;10%  de  la superficie  de  la Commune;;"Acces difficile
Outil rudimentaire utilises par la majorite des exploitants";;Deplacement  des populations e pieds;Faciliter  leaccessibilite  en traeant des routes sur les flancs des forets
183;Laterite;191;170201;Extraction de la laterite;1%  de  la superficie  de  la Commune;;"Acces difficile aux carrieres
Penibilites des travaux";;Deplacement  des populations e pieds;Faciliter  leaccessibilite  en traeant des routes
184;Foret;192;170201;"Ravitaillement  en  bois de chauffage
Reboisement
Rituels traditionnels";20%  de  la superficie  de  la commune;;Appauvrissement  des  sols environnant  par  les  champs deEucalyptus;;Usage  deengrais organiques  (dechets  de cafe);Presenter aux populations les  autres  varietes dearbres  e  planter  pour  le reboisement  et  le ravitaillement en bois
185;Jachere;193;170201;Nutrition  des  betes deelevage :  chevres, moutons, cobayes;5%  de  la superficie  de  la Commune;;Aucun;;Aucun;Aucun
186;Marecage;194;170201;;2%  de  la superficie  de  la Commune;;Aucun;;Aucun;Aucun
112;Zones d'habitation;426;170202;"Construction des habitations
Agriculture
Petit elevage";"Disponibilite des terres pour la construction
Accessibilite aux terrains aisee";;"Habitats en materiaux provisoires et construction anarchique
Divagation des betes
Conflits agropastoraux
Pas de decharge municipale ni de cimetiere
Absence de gare routiere";Sol sablo-lateritique, argileux, ferralitique;;"Vulgarisation du materiel durable de construction
Construction deune gare routiere
organiser les achats groupes pour les populations (achat des materiaux de construction moderne)"
113;Zone de foret ( Foret Sacre, Foret Galerie, Reserve forestiere) ;425;170202;"Cultures vivrieres
chasse
prelevement des plantes medicinales
Cultures maraecheres
Exploitation des PFNL et fauniques (chasse)";Possibilite de creation des forets communautaires et communales;;"Deboisement
Exploitation illegale de la faune
Feux de brousse et du bois de chauffe
Non maetrise des techniques ameliorees de production
difficulte deacces";Sol fertile et peu affecte par leerosion, presence de quelques especes;;"Pratique de leAgroforesterie
Sensibiliser les populations sur leimportance de la foret
Mise en place des forets communales
Sensibilisation contre les feux de brousse"
114;Zone de polyculture;424;170202;Production Des Cultures Principales Suivantes : maes, haricot, macabo, Igname , banane douce, piment, Manioc, Legume, Soja, taro, Oignon, Patate douce, Arachide;"Disponibilite des terres pour extension des exploitations
Terres fertiles";;"Baisse de la fertilite et epuisement des sols
relief accident
erosion des sols
Conflits agro-pastoraux
Feux de brousse
Faible maetrise des bonnes techniques culturales de production
enorme perte post recolte
Mauvais etat des routes et pistes";"Sol de fertilite moyenne, /
Montagne,
Bas-fonds, Savane, Foret";;"Pratiques des methodes culturales appropriees
Renforcement des systemes et pratiques agro forestiers existants
Sensibilisation contre leusage des feux de brousse
Sensibiliser les populations sur les cultures en courbe de niveau
Amenagement des voies deacces aux carrieres
Amenager les piste de collectes
Creer des postes agricoles"
127;Foret sacree;411;170203;"Pratique des rites traditionnels
Pratique des sacrifices
Lieux deinitiation
Recolte des produits de la pharmacopee traditionnelle
Ramassage du bois de chauffage";"Presence de plusieurs essences forestieres exploitables
Presence des produits forestiers non ligneux (PFNL)
Reservoir de la faune";;"Mauvais etat des voies deacces
Penetration reguliere par les feux de brousse
Empietement des limites par les populations";;Ce sont des forets boisees preservees pour des pratiques culturelles. La densite des arbres y est importante;"Defrichement des voies deacces
Realisation des pare-feux
Delimitation et materialisation des perimetres pour la securite autour des forets sacrees
Amenagement des voies deacces dans les forets sacrees"
128;Foret plantee;410;170203;"Production du bois deoeuvre et des poteaux electriques
Production du bois de chauffage";"Presence de nombreux Eucalyptus
Creation des microclimats";;"Menace par les feux de brousse
Perturbation du rythme saisonnier impactant sur la mise en terre des plants
Aridification des sols agricoles par les Eucalyptus
Non maetrise des techniques sylvicoles
Difficultes financieres";;Ce sont des forets mono specifiques constituees essentiellement deeucalyptus alignes qui ont ete plantes par lehomme;"Realisation des pare-feux
Limitation de leexpansion de la plantation de leEucalyptus
Approvisionnement des populations en deautres especes ligneuses plus ecologiques
Delimitation des zones reservees e la plantation des Eucalyptus"
129;Foret;409;170203;"Exploitation du bois deoeuvre
Exploitation du bois de chauffage
Pratique des activites agricoles
Recolte des plantes medicinales et des produits forestiers non ligneux (PFNL)";"Presence deune diversite deespeces ligneuses exploitables
Presence des produits forestiers non ligneux (Djansang, Bita cola, Fruits noirs)
Presence de plusieurs especes fauniques";;"Exploitation anarchique et illegale
Deboisement e des fins agricoles
Menace par les feux de brousse
Rarefaction de certaines especes floristiques";;Ce sont des forets naturelles degradees oe les arbres sont clairsemes et le sous-bois pauvre;"Realisation des pare-feux
Mise en place des comites de surveillance des forets
Reboisement des espaces forestiers
Delimitation et materialisation des perimetres agricoles
Approvisionnement des populations en essences forestieres
Formation des populations dans les techniques sylvicoles
Creation des reserves forestieres"
130;Espace betis;408;170203;"Habitat
Activites commerciales et de service";Presence des maisons, des marches, routes, des betiments;;"Saturation fonciere
Promiscuite
Insalubrite par endroit";;Forte presence des habitations et infrastructures;"Nettoyage des concessions privees
Realisation des seances deinvestissement humain
Mise en place des lotissements
Mise en place deun plan deoccupation des sols
Organisation des campagnes dehygiene et de salubrite"
131;Vallee;407;170203;"Approvisionnement en eau
Lessive et vaisselles
Irrigation/arrosage des cultures
Abreuvage du betail
Deversement des dechets";"Presence des ressources en eau
Richesse en ressources halieutiques
Presence des galeries forestieres";;"Debordement des eaux pendant les crues
Obstacle au reseau routier
Pollution des eaux";;Depressions seches ou drainees en eau;"Desinfection/potabilisation de leeau
Sensibilisation des communautes villageoises sur la preservation des cours deeaux contre la pollution
Amenagement des ouvrages destines aux activites domestiques hors du lit des cours deeau
Delimitation des perimetres agricoles loin du lit des cours deeau"
132;Plateaux;406;170203;Installations humaines;Platitude du terrain;;"erosion des sols
Risque de mouvements de terrain";;Relief dealtitude moderee couronne par un sommet plat;"RAS
Reboisement des espaces"
133;Montagnes;405;170203;ecotourisme;"Fraicheur du climat
Paysage pittoresque
Opportunite de pratique de leathletisme";;"Hostilite du milieu lie e la topographie
Zone e risque
Obstacle aux travaux routiers";;Hauts reliefs caracterises par des pentes abruptes;"RAS
Viabilisation des zones de montagne
Organisation des competitions deathletisme"
134;Savane ;404;170203;"Peturage
Activites agricoles";"Presence de la faune (mammiferes, oiseaux, rongeurs)
Presence du bois de chauffage
Sols fertiles";;"Perte de la biodiversite vegetale et animale
Menace par les feux de brousse
Surexploitation des sols";;Ce sont des formations vegetales constituees essentiellement dearbustes et dont le tapis herbace est dense et continu;"Realisation des pare-feux
Observation de la jachere
Amendement des sols
Creation des aires protegees Renforcement des capacites techniques des agriculteurs sur les techniques de lutte antierosive"
135;Bas-fond;403;170203;"Exploitation des bambous/raphia
Vigne du vin de palme et de raphia
Cultures maraicheres";"Proximite des ressources en eau
Presence des raphias et bambous
Reservoir de la biodiversite
Sols propices aux cultures de contre-saison et maraicheres";;"Forte prevalence du paludisme
Proliferation des getes de moustiques
Obstacle aux travaux routiers erosion";;Zones marecageuses de basse altitude;"Utilisation des moustiquaires impregnees
Utilisation des grillages anti-moustiques
Plante des eucalyptus
Distribution des moustiquaires impregnees
Plante des eucalyptus"
143;Foret;151;170204;"Ramassage du bois de feu 
Collecte des bois deeuvre 
Chasse 
Utilisation des bambous pour les constructions et leartisanat";Superficie peu importante estime e  30% de la surface totale de la commune ;;"Pression demographique
Degradation progressive due e la surexploitation des ressources forestieres 
Disparition de certaines especes 
Surexploitation des ressources ligneuses
Rarefaction des especes fauniques";;;"Le reboisement communautaire
Les pratiques agro forestieres
Reglementation  de la coupe de bois pour usage domestique ou artisanal  
Intensifier les pratiques agro forestieres 
Creation deune pepiniere communale 
Sensibilisation des populations e la gestion durable des forets
Plantation de nouveaux arbres
Reglementation  de la coupe de bois pour usage domestique ou artisanal 
Reglementation  de la chasse et encouragement e la pratique de leelevage conventionnel "
144;Foret sacree;152;170204;"Lieux deinitiation aux nouvelles responsabilites et de sepultures des chefs.  
Lieux oe le chef pratique des ceremonies rituelles en compagnie des notables. 
Lieux de recueillement et de prieres.  
Lieux privilegies de sacrifices  
Lieu de cueillette des plantes et des herbes pour la pharmacopee traditionnelle";Lambeaux de forets aux superficies peu importantes estimees au 10% de la surface totale de la commune;;Les forets sacrees ne subissent aucunes contraintes dues e leaction de lehomme;;;"RAS
Assurer la perennisation des actions de conservation"
145;Zone de monoculture;153;170204;Pratique de cultures industrielles;;;"Baisse de la production
Reduction de la fertilite du sol
Surexploitation des terres
";;;"Cultures en courbe de niveau
Cultures en couloir

Mettre a la disposition des populations les semences ameliorees 
Vulgarisation des nouvelles techniques culturales
Utilisation des intrants (semences ameliorees) 
Vulgarisation des pratiques agro ecologiques 
Creation de nouvelle plantation
"
146;Zone de polyculture;154;170204;Pratique de cultures de Maes, Manioc, Arachide, Haricot, Igname, Banane, Macabo, Taro, Patate, Pomme de terre, Soja ;Couvre environ 30% du territoire communal ;;"Lessivage progressif du sol
Reduction de la fertilite du sol
Baisse de la production";;;"Cultures en courbe de niveau, 
Cultures en couloir 
Utilisation des intrants agricoles

Vulgarisation de methodes modernes de cultures 
Encadrement technique des agriculteurs 
Mettre a la disposition des populations les semences ameliorees  
Vulgarisation de methodes modernes de cultures  
Encadrement technique des agriculteurs "
147;Cours d'eau / Rivieres ;155;170204;"Approvisionnement en eau pour travaux domestiques 
Peche 
Extraction du sable ";"hautes eaux pendant la saison des pluies 
poissonneux 
Les cours deeau sablonneux ";;"Baisse du debit des cours deeau en saison seche, elles sont nombreuses e tarir completement.
Eutrophisation, due e leactivite agricole intense aux abords ";;;"RAS 
Sensibilition des populations sur leutilisation des berges
Assurer la perennisation des actions de conservation 
"
148;Mayo et lac;156;170204;Approvisionnement en eau pour travaux domestiques;un lac poissonneux;;Eutrophisation, due e leactivite agricole intense aux abords ;;;"RAS 
Regulation de leutilisation des bords du lac"
149;Marecage;157;170204;"Cueillette de raphia pour utilisation domestique et artisanale 
Cueillette de vin de raphia 
Cultures maraecheres  ";"Sol riche 
Presence de Raphia, Bambou";;Degradation progressive due e la surexploitation des ressources, et defrichage pour les cultures maraecheres ;;;"Les populations se conforment au droit coutumier qui reconnait la continuite des droits de terre ferme au bas fond marecageux

Regulation de leutilisation des marecages  
Vulgarisation des cultures e faible consommation deeau et e cycle vegetatif court "
150;Montagnes;158;170204;"Pratiques agricoles 
Chasse 
Forets sacrees ";Tout le territoire ;;"Degradation progressive due e la surexploitation des ressources, et defrichage pour les cultures maraecheres 
Disparition de certaines especes 
";;;"Conscientisation des populations

Culture en courbe sur le flan des montagnes 
Reboisement"
151;Vallee;159;170204;"Cultures maraecheres (Tomate, Choux, Piment,  Gingembre) 
Utilisation de leeau pour  le jardinage 
Utilisation des bambous pour les constructions et leartisanat 
Extraction du  vin de raphia 
Extraction du sable pour construction 
Fabrication des meubles/plafond";5% environ de la superficie de la commune ;;"Degradation progressive due e la surexploitation des ressources, et defrichage pour les cultures maraecheres
Disparition de certaines especes
Litiges quant e leusage des bas fonds
Difficultes deevacuer les produits (pentes e escalader)
";;;"Tenue des palabres

Reboisement 
Creation des pepinieres 
Amenagement des voies deacces aux carrieres de sable en vue de  leexploitation du sable 
Reglementation de leutilisation des produits phytosanitaires "
152;Foret;160;170204;;Bois peu developpes;Population locale;"Rarefaction des especes fauniques 
Surexploitation des ressources ligneuses ";;;"Creation deune pepiniere communale 
Plantation de nouveaux arbres 
Approvisionnement des jeunes plants deespeces 
forestieres pour reboisement des espaces vides "
153;Foret sacree;161;170204;;Bois peu developpes;Chefs, notables, membres des societes secretes;RAS ;;;Assurer la perennisation des actions de conservation
154;Sable;162;170204;;"Potentiel inconnu 
Facilite la construction des maisons et puits ";Population;"Exploitation non contrelee 
Acces difficile aux carrieres de sable 
Manque de materiel deextraction adequat ";;;"Construction de ponts sur les mayo  
Acquisition du materiel moderne deextraction du sable 
Ouvrir leacces aux differentes carrieres "
155;Carriere de pierre;163;170204;; Faciliter la construction des maisons;Population ;Insuffisance de moyens pour estimer et exploiter la ressource;;;Ouverture des voies deacces 
156;Espaces cultivables;164;170204;;"Fort potentiel 
Sert e leelevage (peturage), leagriculture, la construction et le crepissage des maisons";Toute la population;"Perte progressive de fertilite  
Conflits fonciers avec les eleveurs";;;"Sensibilisation sur la reglementation fonciere 
Materialisation des limites entre villages  
Separation des zones de culture et de peturage "
157;Cours d'eau / Rivieres ;165;170204;;"Eau de consommation 
Ressources halieutiques peu abondantes 
Irrigation de champs, presence de sable 
Sources de raphia, de montagne ";"Toute la population 
Pecheurs";Reduction du debit en saison seche ;;;"Construction de forages  
Regulation des extractions de sable "
158;Lac;166;170204;;Poissonneux (poisons divers);Population locale;Eutrophisation, due e leactivite agricole intense aux abords ;;;Regulation de leutilisation des bords du lac
159;Rafia;167;170204;;Disponibles au sein de la foret ;Tous  les habitants des villages;Especes en voie de disparition;;;RAS
257;Zones d'habitation;267;170205;"Construction des maisons dehabitation
Zone residentielle
Zone commerciale
Zone administrative
Petit jardin autour des maisons en zone urbaine";1/3 de la superficie du territoire;;"Absence de plan deurbanisme
Constructions anarchiques
Mauvaise gestion des eaux usees
Forte pression fonciere dans leespace urbain
Absence de POS
Absence de plan deurbanisme
Le relief est accidente e certains endroits
Tout leespace terrien est deje occupe";"Habitat groupe
Habitat lineaire en bordure de route dans les villages
Constructions anarchiques
Habitat traditionnel e materiaux semi provisoire pour la plupart
Habitat moderne avec utilisation des materiaux definitifs pour une solidite de sa structure
Les deux types dehabitats se jouxtent de part et deautres dans le centre urbain
Les constructions neobeissent pas tres souvent aux regles deurbanisme
Forte proportion dehabitats spontanes dans leespace urbain et les centres de village";;"Construction des habitations de faeon liniere le long des axes routiers
Pas de construction aux endroits accidentes et dans les marecages
Construction des toilettes traditionnelles le plus souvent e ciel ouvert derriere les maisons dehabitation
Elaborer et mettre en application un plan deurbanisme dans leespace urbain communal
Elaborer un plan deoccupation de sol"
258;Bas fond marecageux;268;170205;"Exploitees en saison seche pour les cultures maraicheres
Exploitees dans certains villages pour la creation des etangs piscicoles";1/20 de la superficie totale;;"Absence de drain
Inondation en saison de pluie
Utilisation de certains bas fonds comme point de decharge des ordures (dans leespace urbain)
";"Inondees en saison de pluie
Exploitees en saison seche pour la pratique des cultures maraicheres
Zone favorable pour la creation des etangs piscicoles
Sols hydromorphes
Vegetation herbacee";;"Ouvrir les drains
Maitriser leeau pour conduire les activites de production en toute saison
Exploitation de la zone beaucoup plus en saison seche"
259;Bassin de production agricole;269;170205;"Zone de production agricole
Quelque fois lehabitat y est present";2/;;"Mauvais etat des voies de communication
Absence de voies deacces dans certaines zones de production
Mauvaise pratique cultural par certains producteurs
Pertes apres recolte";"Vaste etendue de terre dans la zone de plaine et parfois sur les flancs de collines
Couvert vegetal essentiellement compose des cultures, dearbres fruitiers et de palmiers e huile
Le sol est plus ou moins fertile par endroit
Degradation du sol e certains endroits due aux mauvaises pratiques et e leerosion pluviale
Leaction de leHomme est tres visible dans ces zones
Localisee en zone rurale";;"Deplacements e pied ou e moto pour atteindre certaines zones de production
Transport des recoltes soit sur la tete soit e leaide deun porte tout
Construction des hangars pour stockage des recoltes dans les plantations
Entretenir les voies deacces dans les zones de production
Ouvrir les voies deacces dans les zones de production ou les besoins seimposent"
