NEnr;IDZoneIDCadre;ID_Probleme;IDProbleme;Probleme;IDZone;Archive;IDCadre;IDSource;_MiseAJour
2 000;1702030033;2075;170203PB2075;Degradation des forets et de la faune;170203;0;0033;0;
2 001;1702030028;2076;170203PB2076;Faible protection de leenvironnement et de la nature;170203;0;0028;0;
2 002;1702030838;2077;170203PB2077;Difficulte deacces au developpement urbain et e lehabitat de qualite;170203;0;0838;0;
2 003;1702030837;2078;170203PB2078;Faible immatriculation fonciere;170203;0;0837;0;
2 004;1702030419;2079;170203PB2079;Faible developpement de la recherche scientifique et de leinnovation;170203;0;0419;0;
2 005;1702030921;2080;170203PB2080;Faible developpement des activites commerciales;170203;0;0921;0;
2 006;1702030426;2081;170203PB2081;Faible epanouissement des jeunes;170203;0;0426;0;
2 007;1702030516;2082;170203PB2082;Faible;170203;0;0516;0;
2 008;1702030939;2083;170203PB2083;Faible developpement de leartisanat local et faible initiative e leentrepreneuriale;170203;0;0939;0;
2 009;1702030829;2084;170203PB2084;Difficulte liee e leexploitation des ressources pour la production des richesses;170203;0;0829;0;
2 010;1702030846;2085;170203PB2085;Difficulte deacces aux moyens de transport;170203;0;0846;0;
2 011;1702030545;2086;170203PB2086;Difficulte deacces aux services de poste et telecommunication;170203;0;0545;0;
2 012;1702030517;2087;170203PB2087;Difficulte deacces aux infrastructures de communication;170203;0;0517;0;
2 013;1702030307;2088;170203PB2088;Faible fonctionnement de leadministration locale;170203;0;0307;0;
2 014;1702030418;2089;170203PB2089;Difficulte deacces e leenseignement superieur;170203;0;0418;0;
2 018;1702070000;2093;170207PB2093;difficultes deameliorer considerablement la performance institutionnelle;170207;0;0000;0;
2 019;1702070307;2094;170207PB2094;Difficultes deintegration de la decentralisation, e maintenir leordre et la securite publique dans toute leespace communale;170207;0;0307;0;
2 020;1702070930;2095;170207PB2095;Difficulte de pratiquer leagriculture moderne;170207;0;0930;0;
2 021;1702070640;2096;170207PB2096;Acces difficile aux soins de sante de qualite;170207;0;0640;0;
2 022;1702070415;2097;170207PB2097;Difficulte deacces e une education de qualite;170207;0;0415;0;
946;1702070425;2098;170207PB2098;Difficulte e assurer leeducation secondaire;170207;0;0425;0;
945;1702070426;2099;170207PB2099;Difficulte e developper les activites de jeunesse;170207;0;0426;0;
943;1702070832;2100;170207PB2100;Difficulte deacces e leenergie electrique;170207;0;0832;0;
942;1702070832;2101;170207PB2101;Difficulte deacces e leeau potable;170207;0;0832;0;
814;1702070836;2102;170207PB2102;Difficulte e developper le secteur des travaux publics;170207;0;0836;0;
812;1702070033;2103;170207PB2103;Difficulte e promouvoir la foret et la faune;170207;0;0033;0;
811;1702070931;2104;170207PB2104;Difficultes de pratiquer leelevage et la peche moderne;170207;0;0931;0;
810;1702070516;2105;170207PB2105;Difficultes liees e leexercice des activites sportives, ;170207;0;0516;0;
714;1702070846;2106;170207PB2106;Difficulte de circulation des personnes et des biens;170207;0;0846;0;
713;1702070243;2107;170207PB2107;Faible implication de la femme et de la famille dans le processus de developpement;170207;0;0243;0;
711;1702070742;2108;170207PB2108;Difficulte e assurer leepanouissement des personnes vulnerables;170207;0;0742;0;
710;1702070939;2109;170207PB2109;Difficulte de promouvoir les PME;170207;0;0939;0;
709;1702070829;2110;170207PB2110;Difficulte e creer les industries et developper la technologie;170207;0;0829;0;
707;1702070837;2111;170207PB2111;Difficulte deacces aux titres fonciers;170207;0;0837;0;
706;1702070838;2112;170207PB2112;Difficulte deurbanisation et deacces e lehabitat;170207;0;0838;0;
705;1702070735;2113;170207PB2113;Difficulte e offrir les emplois et la formation professionnelle;170207;0;0735;0;
701;1702070028;2114;170207PB2114;Difficulte e conserver la nature;170207;0;0028;0;
700;1702070418;2115;170207PB2115;Difficulte deacces e leenseignement superieur;170207;0;0418;0;
699;1702070514;2116;170207PB2116;Difficulte e promouvoir la culture;170207;0;0514;0;
665;1702070517;2117;170207PB2117;Faible couverture mediatique;170207;0;0517;0;
664;1702070545;2118;170207PB2118;Difficulte e developper le secteur des telecommunications;170207;0;0545;0;
663;1702070523;2119;170207PB2119;Faible developpement des activites touristiques;170207;0;0523;0;
662;1702070419;2120;170207PB2120;Difficulte deacces e la recherche scientifique et leinnovation;170207;0;0419;0;
661;1702070921;2121;170207PB2121;Difficulte e developper les activites commerciales;170207;0;0921;0;
660;1702070741;2122;170207PB2122;Difficulte deacces deobtenir un travail ;170207;0;0741;0;
657;1702070322;2123;170207PB2123;Difficulte e developper leeconomie locale;170207;0;0322;0;
655;1702070108;2124;170207PB2124;Difficulte e assurer la gouvernance locale;170207;0;0108;0;
654;1501070930;2125;150107PB2125;Faible competitivite agricole;150107;0;0930;0;
567;1501070931;2126;150107PB2126;Difficulte deameliorer la production pastorale  et halieutique;150107;0;0931;0;
566;1501070837;2127;150107PB2127;Difficulte  deacces e la propriete fonciere;150107;0;0837;0;
563;1501070838;2128;150107PB2128;Faible performance dans le developpement urbain et de lehabitat;150107;0;0838;0;
562;1501070028;2129;150107PB2129;Persistance  des insuffisances dans la gestion de leenvironnement, la protection de la nature et dans la perennisation du developpement;150107;0;0028;0;
395;1501070033;2130;150107PB2130;Baisse du potentiel des ressources floristiques et fauniques;150107;0;0033;0;
394;1501070307;2131;150107PB2131;Faible presence des services de leadministration centrale decentralisee  et du maintien de leordre;150107;0;0307;0;
393;1501070415;2132;150107PB2132;Difficulte deacces e une education de base de qualite;150107;0;0415;0;
363;1501070425;2133;150107PB2133;Difficulte deacces aux enseignements secondaires  de qualite;150107;0;0425;0;
331;1501070418;2134;150107PB2134;Difficulte deacces aux universites et grandes ecoles;150107;0;0418;0;
329;1501070640;2135;150107PB2135;Difficulte deacces aux soins de qualite;150107;0;0640;0;
196;1501070832;2136;150107PB2136;Difficulte deacces e leeau potable;150107;0;0832;0;
195;1501070832;2137;150107PB2137;Difficulte deacces e leenergie electrique;150107;0;0832;0;
194;1501070836;2138;150107PB2138;Difficulte deacces e une infrastructure routiere et ouvrages de franchissements de qualite;150107;0;0836;0;
193;1501070742;2139;150107PB2139;Difficulte deacces aux services sociaux;150107;0;0742;0;
192;1501070243;2140;150107PB2140;Faible epanouissement de la femme et de la famille;150107;0;0243;0;
191;1501070426;2141;150107PB2141;Faibles epanouissement et developpement economique des jeunes;150107;0;0426;0;
190;1501070516;2142;150107PB2142;Difficulte e pratiquer les activites sportives;150107;0;0516;0;
189;1501070846;2143;150107PB2143;Difficulte de mobilite et insecurite des personnes  et des biens ;150107;0;0846;0;
188;1501070735;2144;150107PB2144;Difficulte deacces e leemploi et e la formation professionnelle;150107;0;0735;0;
184;1501070939;2152;150107PB2152;Faible developpement des PME, de leeconomie sociale et de leartisanat;150107;0;0939;0;
183;1501070419;2153;150107PB2153;Faible acces  aux resultats  de la recherche  et de leinnovation;150107;0;0419;0;
182;1501070523;2154;150107PB2154;Faible  valorisation des sites touristiques;150107;0;0523;0;
181;1501070514;2155;150107PB2155;Faible  promotion  de la culture  locale;150107;0;0514;0;
180;1501070921;2156;150107PB2156;Faible epanouissement des activites marchandes;150107;0;0921;0;
179;1501070545;2157;150107PB2157;Difficulte deacces aux services postaux et aux TIC;150107;0;0545;0;
178;1501070517;2158;150107PB2158;Difficulte deacces e leinformation;150107;0;0517;0;
177;1501070741;2159;150107PB2159;Difficulte deacces e la securite sociale;150107;0;0741;0;
176;1501070829;2160;150107PB2160;Faible developpement des activites minieres et de l' industrie;150107;0;0829;0;
175;1801030307;2161;180103PB2161;Faible couverture securitaire;180103;0;0307;0;
174;1702020930;2162;170202PB2162;Faible competitivite agricole dans leespace communal de Bakou;170202;0;0930;0;
173;1702020931;2163;170202PB2163;Faible productivite animale et halieutique dans leespace communal de Bakou;170202;0;0931;0;
172;1702020837;2164;170202PB2164;Difficulte e bien gerer le potentiel foncier existant dans leespace geographique de la commune dearrondissement de BAKOU;170202;0;0837;0;
171;1702020838;2165;170202PB2165;Precarite de lehabitat et difficulte de gestion de leurbanisme dans leespace communal de Bakou;170202;0;0838;0;
170;1702020028;2166;170202PB2166;Degradation progressive de leenvironnement dans leespace communal de Bakou.;170202;0;0028;0;
169;1702020033;2167;170202PB2167;Difficulte de preservation de la foret et de la faune dans le territoire communal de Bakou;170202;0;0033;0;
168;1702020307;2168;170202PB2168;Faible couverture de leespace communal de Bakou par les services de leadministration territoriale;170202;0;0307;0;
59;1702020415;2169;170202PB2169;Difficulte deacces e une education de base de qualite dans le territoire communal de Bakou.;170202;0;0415;0;
23;1702020425;2170;170202PB2170;Difficulte deacces e leenseignement secondaire de qualite dans les etablissements secondaires de la Commune de Bakou;170202;0;0425;0;
185;1702020418;2171;170202PB2171;Faible acces e leenseignement superieur dans la Commune de Bakou;170202;0;0418;0;
186;1702020640;2172;170202PB2172;Difficulte deacces aux soins de sante de qualite dans leespace communal de Bakou;170202;0;0640;0;
187;1702020832;2173;170202PB2173;Difficulte deacces a leeau potable dans la Commune de Bakou.;170202;0;0832;0;
2 017;1702020832;2174;170202PB2174;Difficulte deacces e leenergie electrique de qualite dans la Commune de Bakou;170202;0;0832;0;
2 016;1702020836;2175;170202PB2175;Difficulte de deplacement dans la totalite des villages du territoire communal de Bakou.;170202;0;0836;0;
2 015;1702020742;2176;170202PB2176;Difficulte deacces aux services sociaux de qualite dans le territoire communal de Bakou.;170202;0;0742;0;
1 987;1702020243;2177;170202PB2177;Faible epanouissement de la femme et de la jeune fille, difficulte deacces des familles au bien etre dans le territoire communal de Bakou.;170202;0;0243;0;
1 985;1702020426;2178;170202PB2178;Faible epanouissement des jeunes dans le territoire communal de Bakou.;170202;0;0426;0;
1 984;1702020516;2179;170202PB2179;Faible developpement des activites sportives et deeducation physique dans le territoire communal de Bakou.;170202;0;0516;0;
1 740;1702020846;2180;170202PB2180;Difficultes deacces aux moyens de transport dans le territoire communal de Bakou.;170202;0;0846;0;
1 739;1702020735;2181;170202PB2181;Difficulte deinsertion professionnelle des jeunes du territoire communal de Bakou.;170202;0;0735;0;
1 738;1702020939;2182;170202PB2182;Faible developpement des petites entreprises locales de Bakou;170202;0;0939;0;
1 737;1702020419;2183;170202PB2183;Faible utilisation des resultats de la recherche dans le territoire communal de Bakou;170202;0;0419;0;
1 736;1702020523;2184;170202PB2184;Faible developpement de leactivite touristique et de loisir dans le territoire communal de Bakou.;170202;0;0523;0;
1 735;1702020514;2185;170202PB2185;Faible developpement de leart et des activites culturelles dans la commune de Bakou.;170202;0;0514;0;
1 335;1702020829;2186;170202PB2186;Difficulte e developper les industries et leexploitation des ressources minieres dans la Commune de Bakou;170202;0;0829;0;
1 138;1702020921;2187;170202PB2187;Faible developpement des activites commerciales dans la Commune de Bakou.;170202;0;0921;0;
1 137;1702020545;2188;170202PB2188;Insuffisance deacces aux reseaux de telecommunication dans la Commune de Bakou;170202;0;0545;0;
1 136;1702020741;2189;170202PB2189;Difficulte deacces e la couverture sociale dans la Commune de Bakou;170202;0;0741;0;
1 135;1702020517;2190;170202PB2190;Difficulte deacces e leinformation dans le territoire communal de Bakou;170202;0;0517;0;
1 078;1702020640;2191;170202PB2191;Difficulte deacces aux soins de sante de qualite;170202;0;0640;0;
1 077;1702020742;2192;170202PB2192;Difficulte deacces e une encadrement infantile de qualite;170202;0;0742;0;
987;1702020243;2193;170202PB2193;Difficulte deacces e une encadrement infantile de qualite;170202;0;0243;0;
986;1702020307;2194;170202PB2194;Difficulte deacces au service de leadministration;170202;0;0307;0;
985;1702020415;2195;170202PB2195;Difficulte deacces e une education de base de qualite;170202;0;0415;0;
984;1702020832;2196;170202PB2196;Faible conditions dehygienes en milieu scolaire;170202;0;0832;0;
716;1702020930;2197;170202PB2197;Difficulte deepanouissement des enfants mineurs de BAkou;170202;0;0930;0;
568;1702020931;2198;170202PB2198;Difficulte deepanouisse-ment des enfants mineurs de BAkou;170202;0;0931;0;
2 032;1701010243;2208;170101PB2208;Difficulte deencadrement de la femme, de la jeune fille et par ricochet de la famille ;170101;0;0243;0;
2 031;1002010514;2222;100201PB2222;qsdfqsdfqsdfqsdf;100201;0;0514;0;
2 027;1802050307;2234;180205PB2234;"Faible appropriation de la Decentralisation au niveau local 
Faible developpement de leinstitution communale ";180205;0;0307;0;
2 030;1802050742;2235;180205PB2235;Faible encadrement des personnes vulnerables et indigentes ;180205;0;0742;0;
2 029;1802050930;2236;180205PB2236;Faible productivite agricole ;180205;0;0930;0;
2 028;1802050921;2237;180205PB2237;Faible developpement des activites  commerciales ;180205;0;0921;0;
2 026;1802050838;2238;180205PB2238;Difficulte deacces e un logement decent ;180205;0;0838;0;
2 025;1802050735;2239;180205PB2239;Faible insertion socioprofess ionnelle des jeunes ;180205;0;0735;0;
2 024;1802050832;2240;180205PB2240;Approvisio nnement insuffisant en eau potable et energie electrique ;180205;0;0832;0;
2 023;1802050415;2241;180205PB2241;Faible offre des services deeducation de base de qualite ;180205;0;0415;0;
2 033;1802050931;2242;180205PB2242;Faible exploitation des potentialites en matiere d'elevage, de peches et d'industries animales;180205;0;0931;0;
2 034;1802050425;2243;180205PB2243;Insuffisance de leOffre infrastructure lle, didactique et materiel technique dans les enseignement s secondaires ;180205;0;0425;0;
2 035;1802050028;2244;180205PB2244;Pollution de leenvironnem ent et de la nature ;180205;0;0028;0;
2 036;1802050426;2245;180205PB2245;Faible insertion sociale des jeunes et crise de citoyennete ;180205;0;0426;0;
2 037;1802050837;2246;180205PB2246;Difficulte deacces e la propriete fonciere ;180205;0;0837;0;
2 038;1802050829;2247;180205PB2247;Sous valorisation du potentiel minier communal ;180205;0;0829;0;
2 039;1802050939;2248;180205PB2248;Faible developpe ment des PME et difficultes de perennisat ion des AGR ;180205;0;0939;0;
2 040;1802050545;2249;180205PB2249;Acces mitige aux services de postes et de telecommunication ;180205;0;0545;0;
2 041;1802050640;2250;180205PB2250;Qualite insuffisante de leoffre  de soins de sante;180205;0;0640;0;
2 042;1802050516;2251;180205PB2251;Faible pratique des activites sportives ;180205;0;0516;0;
2 043;1802050419;2252;180205PB2252;Difficultes e former et e promouvoir les resultats de la recherche dans les domaines de leagriculture, leelevage  la pisciculture et la medecine ;180205;0;0419;0;
2 044;1802050523;2253;180205PB2253;Sousdeveloppement des activites touristiques et ludiques   ;180205;0;0523;0;
2 045;1802050846;2254;180205PB2254;Precarite des Services  de Transport  ;180205;0;0846;0;
2 046;1802050836;2255;180205PB2255;Entretien insuffisant des routes et voies deacces ;180205;0;0836;0;
2 047;1802050741;2256;180205PB2256;Precarite des conditions de travail ;180205;0;0741;0;
2 048;1802050517;2257;180205PB2257;Acces limite e leinformat ion ;180205;0;0517;0;
2 049;1802050514;2258;180205PB2258;Sous valorisation du potentiel culturel communal ;180205;0;0514;0;
2 050;1802050418;2259;180205PB2259;Difficultes e acceder e leenseignement superieur ;180205;0;0418;0;
2 051;1802050243;2260;180205PB2260;Marginalisation de la femme et des enfants ;180205;0;0243;0;
2 052;1802050033;2261;180205PB2261;Exploitation abusive  et mal maetrisee des ressources forestieres et fauniques;180205;0;0033;0;
2 054;1102010307;2263;110201PB2263;Difficulte deacces aux services administratifs et de protection civile.;110201;0;0307;0;
2 055;1102070930;2264;110207PB2264;"Faible Production agricole
";110207;0;0930;0;
2 056;1102060415;2265;110206PB2265;Difficultes deacces e une education de base de qualite;110206;0;0415;0;
2 057;1102060640;2266;110206PB2266;Difficultes deacces aux soins de sante de qualite;110206;0;0640;0;
2 058;1102060832;2267;110206PB2267;Difficultes  deacces  e leeau potable;110206;0;0832;0;
2 059;1102060832;2268;110206PB2268;Difficulte deacces e une energie de qualite;110206;0;0832;0;
2 060;1102060837;2269;110206PB2269;Difficultes liees e leimmatriculation   des terres.;110206;0;0837;0;
2 061;1102060931;2270;110206PB2270;Difficultes  e pratiquer un elevage et une activite de peche rentable et durable;110206;0;0931;0;
2 062;1102060838;2271;110206PB2271;Difficultes deacces  e un habitat decent;110206;0;0838;0;
2 063;1102060028;2272;110206PB2272;Difficultes liees e la preservation de la nature et de leenvironnement et  e  la promotion du developpement durable.;110206;0;0028;0;
2 064;1102060425;2273;110206PB2273;Difficultes deacces e un enseignement secondaire de qualite;110206;0;0425;0;
2 065;1102060033;2274;110206PB2274;Difficultes e conserver et e promouvoir la foret  et la faune;110206;0;0033;0;
2 053;1102060846;2275;110206PB2275;Difficultes de deplacement des personnes et des biens;110206;0;0846;0;
2 066;1102060735;2276;110206PB2276;Difficultes  pour les populations  e  acceder  e un emploi  decent et e la formation professionnelle;110206;0;0735;0;
2 067;1102060939;2277;110206PB2277;Difficultes liees e la promotion des  PME  et de leartisanat;110206;0;0939;0;
2 068;1102060419;2278;110206PB2278;Difficulte e promouvoir la recherche scientifique et leinnovation  ;110206;0;0419;0;
2 069;1102060921;2279;110206PB2279;Difficulte e developper une activite commerciale   ;110206;0;0921;0;
2 070;1102060829;2280;110206PB2280;Difficultes e developper  leindustrie de transformation locale;110206;0;0829;0;
2 071;1102060523;2281;110206PB2281;Difficultes e promouvoir le tourisme  ;110206;0;0523;0;
2 072;1102060514;2282;110206PB2282;Difficultes e promouvoir   la   culture locale;110206;0;0514;0;
2 073;1102060836;2283;110206PB2283;Execution, entretien et suivi insuffisant  des infrastructures routieres et edifices publics;110206;0;0836;0;
2 074;1102060243;2284;110206PB2284;Difficultes liees e leepanouissement de la femme  et  de  la jeune fille;110206;0;0243;0;
2 075;1102060742;2285;110206PB2285;Difficultes liees e la promotion, la protection et e  leepanouissement  des personnes vulnerables ;110206;0;0742;0;
2 076;1102060426;2286;110206PB2286;Difficultes liees e leepanouissement de la jeunesse  et e  la promotion du civisme.;110206;0;0426;0;
2 077;1102060516;2287;110206PB2287;Difficulte  deacces  aux infrastructures sportives de qualite;110206;0;0516;0;
2 078;1102060545;2288;110206PB2288;Difficultes deacces aux services de  telecommunications  de qualite   ;110206;0;0545;0;
2 079;1102060517;2289;110206PB2289;Difficultes  deacces  e un service de communication de qualite;110206;0;0517;0;
2 080;1102060741;2290;110206PB2290;Difficultes deacces  e la securite sociale ;110206;0;0741;0;
2 081;1102060930;2291;110206PB2291;Difficultes  e pratiquer une agriculture rentable et durable;110206;0;0930;0;
2 082;1102060307;2292;110206PB2292;Difficultes deacces aux services publics;110206;0;0307;0;
2 083;1102060418;2293;110206PB2293;Difficultes dans la prise   en  charges  et leinsertion des etudiants;110206;0;0418;0;
2 084;1702060930;2294;170206PB2294;Baisse de la rentabilite des activites agricoles;170206;0;0930;0;
2 085;1702060931;2295;170206PB2295;Difficulte de pratiquer leelevage moderne;170206;0;0931;0;
2 086;1702060640;2296;170206PB2296;Difficultes deacces aux soins de sante de qualite;170206;0;0640;0;
2 087;1702060836;2297;170206PB2297;Difficultes dans la circulation des personnes et des biens;170206;0;0836;0;
2 088;1702060415;2298;170206PB2298;Difficulte deacces e une education de qualite;170206;0;0415;0;
2 089;1702060514;2299;170206PB2299;Faible promotion des activites culturelles;170206;0;0514;0;
2 090;1702060243;2300;170206PB2300;Difficulte e stabiliser les familles;170206;0;0243;0;
2 091;1702060742;2301;170206PB2301;Difficultes dans la prise en charge des personnes vulnerables;170206;0;0742;0;
2 092;1702060832;2302;170206PB2302;Eau : Difficulte deacces e leeau potable;170206;0;0832;0;
2 093;1702060832;2303;170206PB2303;Energie : Difficultes deacces e leenergie electrique;170206;0;0832;0;
2 094;1702060832;2304;170206PB2304;"Assainissement : Faible observation des regles dehygienes et salubrite
";170206;0;0832;0;
2 095;1702060425;2305;170206PB2305;"Difficulte deacces e un enseignement de qualite
";170206;0;0425;0;
2 096;1702060735;2306;170206PB2306;Difficultes deacces e un emploi stable et e une formation professionnelle;170206;0;0735;0;
2 097;1702060741;2307;170206PB2307;Difficultes deacces aux services de la securite sociale;170206;0;0741;0;
2 098;1702060523;2308;170206PB2308;Faible promotion des activites touristiques;170206;0;0523;0;
2 099;1702060033;2309;170206PB2309;Difficultes e preserver les ressources forestieres et fauniques;170206;0;0033;0;
2 100;1702060028;2310;170206PB2310;Ignorance de la reglementation en vigueur;170206;0;0028;0;
2 101;1702060838;2311;170206PB2311;difficulte deacces e un habitat decent;170206;0;0838;0;
2 102;1702060837;2312;170206PB2312;"Difficultes deacces e la propriete fonciere
 ";170206;0;0837;0;
2 103;1702060419;2313;170206PB2313;difficulte deacces aux resultats de la recherche;170206;0;0419;0;
2 104;1702060921;2314;170206PB2314;Difficultes e commercialiser les produits ;170206;0;0921;0;
2 105;1702060426;2315;170206PB2315;"
Faible epanouissement des jeunes";170206;0;0426;0;
2 106;1702060516;2316;170206PB2316;"Faiblepromotion des activites sportives Faible promotion des activites sportives
";170206;0;0516;0;
2 107;1702060939;2317;170206PB2317;"Difficultes e mettre sur pied une activite artisanale rentable.
";170206;0;0939;0;
2 108;1702060829;2318;170206PB2318;Faible productivite des activites minieres industrielles;170206;0;0829;0;
2 109;1702060846;2319;170206PB2319;Difficultes de deplacement;170206;0;0846;0;
2 110;1702060000;2320;170206PB2320;Difficulte deacces aux TIC;170206;0;0000;0;
2 111;1702060517;2321;170206PB2321;"Difficultes deacces e leinformation
";170206;0;0517;0;
2 112;1702060307;2322;170206PB2322;Difficultes deassurer leordre ;170206;0;0307;0;
2 113;1702060307;2323;170206PB2323;Difficulte deetablir la citoyennete des enfants ;170206;0;0307;0;
2 114;1702060418;2324;170206PB2324;Difficulte deacces aux etudes superieures ;170206;0;0418;0;
2 115;1102080930;2325;110208PB2325;Faible rentabilite agricole;110208;0;0930;0;
2 116;1102080931;2326;110208PB2326;Faible production animale et halieutique Insecurite fonciere des espaces occupes;110208;0;0931;0;
2 117;1102080837;2327;110208PB2327;Insecurite fonciere des espaces occupes;110208;0;0837;0;
2 118;1102080838;2328;110208PB2328;Insalubrite et faible urbanisation;110208;0;0838;0;
2 119;1102080838;2329;110208PB2329;"Precarite de lehabitat 
Degradation de leEnvironnement";110208;0;0838;0;
2 120;1102080033;2330;110208PB2330;Degradation du potentiel faunique et floristique;110208;0;0033;0;
2 121;1102080415;2331;110208PB2331;Difficultes deacces e une education de base de qualite;110208;0;0415;0;
2 122;1102080418;2332;110208PB2332;Faible acces des jeunes de la Commune aux etudes superieures;110208;0;0418;0;
2 123;1102080425;2333;110208PB2333;Difficulte deacces e leenseignement secondaire;110208;0;0425;0;
2 124;1102080640;2334;110208PB2334;Difficulte deacces aux soins de sante de qualite;110208;0;0640;0;
2 125;1102080640;2335;110208PB2335;Vulnerabilite des populations au VIH-SIDA;110208;0;0640;0;
2 126;1102080832;2336;110208PB2336;Insuffisance de leacces e leenergie electrique;110208;0;0832;0;
2 127;1102080832;2337;110208PB2337;Difficulte deacces des populations  e leeau potable;110208;0;0832;0;
2 128;1102080836;2338;110208PB2338;Enclavement de la Commune;110208;0;0836;0;
2 129;1102080742;2339;110208PB2339;Faible jouissance de leurs droits par les groupes vulnerables (enfants, jeunes filles, handicapes, vieillards;110208;0;0742;0;
2 130;1102080243;2340;110208PB2340;Difficulte deepanouissement de la femme et de la famille;110208;0;0243;0;
2 131;1102080426;2341;110208PB2341;Difficulte deinsertion socioprofessionnelle des jeunes ;110208;0;0426;0;
2 132;1102080516;2342;110208PB2342;Difficulte de pratique des activites sportives;110208;0;0516;0;
2 133;1102080846;2343;110208PB2343;Precarite des conditions de transport ;110208;0;0846;0;
2 134;1102080829;2344;110208PB2344;Difficulte de  developpement de leexploitation du sable et autres ressources;110208;0;0829;0;
2 135;1102080921;2345;110208PB2345;Difficulte de commercialisation des produits et deacces aux produits manufactures de premiere necessite;110208;0;0921;0;
2 136;1102080545;2346;110208PB2346;Difficulte deacces e leinformation et aux services postaux;110208;0;0545;0;
2 137;1102080741;2347;110208PB2347;Faible epanouissement des travailleurs et retraites;110208;0;0741;0;
2 138;1102080517;2348;110208PB2348;Acces difficile e leinformation de proximite;110208;0;0517;0;
2 139;1102090307;2349;110209PB2349;Difficulte deacces aux services administratifs et de protection civile;110209;0;0307;0;
2 140;1102030307;2350;110203PB2350;Difficultes de modernisation et de fonctionnement des services de leadministration territoriale.;110203;0;0307;0;
2 141;1102030742;2351;110203PB2351;Difficultes deacces aux services sociaux.;110203;0;0742;0;
2 142;1102070931;2352;110207PB2352;"Faible productions animales et halieutiques
";110207;0;0931;0;
2 143;1102030930;2353;110203PB2353;Difficultes e pratiquer une agriculture rentable.;110203;0;0930;0;
2 144;1102070837;2354;110207PB2354;"Litige foncier, Difficulte de contrele et de gestion des terres, pas de delimitation du centre urbain ; Pas de plan deurbanisation
";110207;0;0837;0;
2 145;1102030514;2355;110203PB2355;Difficultes e promouvoir les activites culturelles dans la Commune.;110203;0;0514;0;
2 146;1102030921;2356;110203PB2356;Difficultes de collecte, deentreposage et de commercialisation des produits agricoles et manufactures.;110203;0;0921;0;
2 147;1102070838;2357;110207PB2357;"Cadre de vie non approprie
";110207;0;0838;0;
2 148;1102030517;2358;110203PB2358;Difficultes e developper la communication dans la Commune.;110203;0;0517;0;
2 149;1102030838;2359;110203PB2359;Difficultes deurbanisation et developpement de lehabitat dans leespace urbain.;110203;0;0838;0;
2 150;1102010742;2360;110201PB2360;Difficulte deacces aux services sociaux de base.;110201;0;0742;0;
2 151;1102070028;2361;110207PB2361;"Pollution des eaux et de leenvironnement
";110207;0;0028;0;
2 152;1102030837;2362;110203PB2362;Difficultes deacces au foncier.;110203;0;0837;0;
2 153;1102030832;2363;110203PB2363;Difficultes deacces e leeau potable.;110203;0;0832;0;
2 154;1102010930;2364;110201PB2364;Difficulte e pratiquer une agriculture rentable.;110201;0;0930;0;
2 155;1102070033;2365;110207PB2365;"Exploitation anarchique des ressources forestieres et fauniques
";110207;0;0033;0;
2 156;1102030832;2366;110203PB2366;Difficultes deacces e une energie electrique de qualite.;110203;0;0832;0;
2 157;1102070307;2367;110207PB2367;"Acces difficile aux services publics et insecurite dans certains villages
";110207;0;0307;0;
2 158;1102030415;2368;110203PB2368;Difficultes deacces e une education de base de qualite.;110203;0;0415;0;
2 159;1102070415;2369;110207PB2369;"Conditions deeducation de base precaires, Insuffisance deinfrastructure deeducation maternelle, et primaire insuffisant ; Insuffisance du personnel qualifie";110207;0;0415;0;
2 160;1102070425;2370;110207PB2370;"Acces difficile aux enseignements secondaires
";110207;0;0425;0;
2 161;1102030931;2371;110203PB2371;Difficultes de developpement des productions Animales.;110203;0;0931;0;
2 162;1102070418;2372;110207PB2372;Difficultes deacces e leenseignement superieur;110207;0;0418;0;
2 163;1102070640;2373;110207PB2373;Sante precaire ;110207;0;0640;0;
2 164;1102030425;2374;110203PB2374;Difficultes deacces e leenseignement secondaire.;110203;0;0425;0;
2 165;1102070832;2375;110207PB2375;"Difficulte deacces e leeau potable et e leelectricite
";110207;0;0832;0;
2 166;1102030418;2376;110203PB2376;Difficultes deacces e leenseignement superieur.;110203;0;0418;0;
2 167;1102070836;2377;110207PB2377;"Reseau routier insuffisant et non entretenu Mauvais etat de certains ponts
";110207;0;0836;0;
2 168;1102070742;2378;110207PB2378;"Difficulte deencadrement des personnes vulnerables
";110207;0;0742;0;
2 169;1102070243;2379;110207PB2379;"Faible epanouissement de la fille et de la femme
";110207;0;0243;0;
2 170;1102070426;2380;110207PB2380;"Faible epanouissement des jeunes
";110207;0;0426;0;
2 171;1102070516;2381;110207PB2381;"Difficulte deacces aux aires de jeu et de loisirs.
";110207;0;0516;0;
2 172;1102010514;2382;110201PB2382;Difficulte dans la promotion de la Culture.;110201;0;0514;0;
2 173;1102010921;2383;110201PB2383;Difficulte e developper les activites generatrices de revenus.;110201;0;0921;0;
2 174;1102010517;2384;110201PB2384;Difficulte deacces aux medias.;110201;0;0517;0;
2 175;1102010837;2385;110201PB2385;Difficulte deacces e la propriete fonciere.;110201;0;0837;0;
2 176;1102010832;2386;110201PB2386;Difficulte deacces e leeau potable.;110201;0;0832;0;
2 177;1102010832;2387;110201PB2387;Difficulte deacces e une source deenergie soutenable.;110201;0;0832;0;
