Enr;IDPRessources;IDZone;Ressource;Caracteristique;UtilisationActuelle;Potentialite;Contrainte;ActionaMener;AccesControle;Archive;IDSource;_MiseAJour;CoordX;CoordY;CoordZ;ModeGestion;Tendances
296;351;110209;Terres cultivables;;Autochtones    et proprietaire;Cultures vivrieres (manioc,macabos, maes,arachides, plantain) cacao, palmier e huile;Attaque par les rongeurs et insectesFaible  utilisation  des intrants   et   produits phytosanitairesFaible   encadrement des agriculteurs;Octroi   des   intrants   et produits phytosanitairesEncadrement des agriculteurs;Heritage, vente, pret; ;0;;0;0;0;;
298;352;110209;Savane ;;Pratique  de  la  chasse(pieges);Grande quantite;Presence de rongeurs et animaux;Libre;Population; ;0;;0;0;0;;
299;353;110207;Climat;Climat equatorial de type guineen e quatre saisons;;"Favorable e leagriculture, leelevage ;";Perturbation climatique ;;; ;0;;0;0;0;;
300;354;110207;Sols;Presence de vastes etendus de terres arables, lateritiques, sablonneux, pierres, ferralitiques, marecageux;;Favorable aux cultures constructions, travaux publics.;"Degradation des sols avec deszones de forte pente eterosions cree par le denuementdu sol ; Baisse de la production e cause de la baisse de fertilite et aux mauvaises pratiques agricoles";;; ;0;;0;0;0;;
301;355;110207;Hydrographie;Presence de nombreux cours deeau permanent; ;Pratique de la peche, de leagriculture irriguee et reponses des besoins en eau des populations.;Insuffisance de couverture du reseau hydrographique, exploitation non contrelee du sable fragilisant les berges, les cours deeau subissent- le phenomene deeutrophisation ;;; ;0;;0;0;0;;
302;356;110207;Relief;Bas fonds, plaines, montagnes;;Potentiel touristique important, bas fond pour les cultures, maraecheres,;Les terrains accidentes et les collines constituent un handicape;;; ;0;;0;0;0;;
303;357;110207;Faune;Faune riche et diversifiee ;;Source intarissable de proteines et deorigines deorigine animale;Les mauvaise pratiques de la chasse et la non maitrise de leelevage des especes non conventionnels et la disparition progressive de certaines especes. ;;; ;0;;0;0;0;;
304;358;110207;Flore;Presence de foret primaire, secondaire et tertiaire ;;Disponibilite des especes medicinales et des produits forestiers non ligneux, du bois de chauffe et de materiaux de construction de base;La recherche de terres arables et les feux de brousse de meme que leexploitation illicite des especes rares.;;; ;0;;0;0;0;;
305;359;110207;Dynamisme  de  la  population;Dynamisme des populations ;;Terres arables et favorables e leagriculture;Insuffisance de route et de voix deacces aux zones de production, insuffisance de moyen de transport, absence deune agence de transport.;;; ;0;;0;0;0;;
306;360;110207;Bambou de chine;Raphia, rotin, palmier e huile, bambou de chine, foret;;Favorable e la fabrication des objets de culture et des objets deart.;Inexistence de structure deencadrement et de valorisation des arts et des metiers de leart;;; ;0;;0;0;0;;
307;361;110104;Vegetattion;caracterisee par une foret dense et vierge, et des savanes non exploitees qui regorgent plusieurs especes animales.;population;Zone agricole par excellence.;;une soixantaine de sources deeau qui neattendent quee etre amenagees et modernisees.;la Commune; ;0;;0;0;0;;
308;362;110104;Sable, pierre (granite), laterite;leexploitation du sable reste une activite mineure et desorganisee.;population;Malgre le potentiel enorme dans le domaine.;;developper l'activite ;tout le monde; ;0;;0;0;0;;
309;363;110104;Terres cultivables;leagriculture de subsistance par les populations.; population;elles sont principalement exploitees pour des fins agricoles.;;; population; ;0;;0;0;0;;
310;364;110104;Carrieres de pierres;eleve;population;eleve;;e developper ;les populations ; ;0;;0;0;0;;
311;365;110104;Ressources naturelles;elevemangroveforet galerie-arbres fruitiers, et grands arbresPrincipales essences exploitables : moabi, iroko, Ayous, bubinga etproduits Forestiers Non Ligneux, (palmiers e huile, rotins, bambous de chine, raphia)zone propice aux cultures perennesCarrieres de sable non encore exploitees,Richesse faunique;population;Ressources forestieres;;e amenager ;commune; ;0;;0;0;0;;
312;366;110104;Dynamisme  de  la  population;Activite deelevage embryonnaire -Elevage bovin dans les savanes (Plus de 3000 tetes)pas deelevage e grande echelle;;Ressources pastorales;;e developper ;; ;0;;0;0;0;;
313;367;110104;Fleuve ;especes : carpes, tortue marine, tilapia raies, silures, poissons courant, poissons serpente;population;"Grande quantite deeau ;";;e developper;commune; ;0;;0;0;0;;
314;368;110104;Hydrographie; ressources hydrauliques sous exploitees;;eleve,;;exploitable ;; ;0;;0;0;0;;
315;369;110104;Sols;sols propices e leagriculture.;;Eleve, ;;e exploiter ;; ;0;;0;0;0;;
316;370;110104;Marecages ;Etang potentiel agro-sylvo pastoral;;Etang potentiel agro-sylvo pastoral;;e developper ;; ;0;;0;0;0;;
317;372;110202;Potentiel  touristique;Grotte apres la residence du sous-prefetRocher Emaico (Nkolmba)Rocher Ebessa(Nkolmba)Embouchure de la lekie et bodo;;Priere et recueillementConstruction des maisons;La presence de ces rochers diminue leetendue des terres agricoles;;; ;0;;0;0;0;;
275;373;110103;Forets;Disparition de certaines especes animales et floristiques.;Population locale et exploitants forestiers /chasse, agriculture, abattage, ramassage, cueillette.;Bois deeuvre, gibier, PFNL, terres fertiles, presence deespeces animales protegees.;Feux de brousse, deforestation abusive, exploitation abusive des forets par les exploitants, difficulte deacces, braconnage, exploitation difficile des forets.;Limiter les feux de brousse, pratiquer le reboisement, creation deun comite de control des forets, appui en materiel deexploitation des forets.;Population locale et chefferie; ;0;;0;0;0;;
318;374;110103;Savane ;Envahissement de celle-ci par la foret, et disparition de certaines especes animales vivantes dans les savanes.;Population locale et etrangere/agriculture, chasse, ramassage, cueillette.;Sols fertiles, PFNL, gibier, presence deespeces animales protegees.;Feux de brousse, difficulte deacces aux savanes, braconnage.;Limiter les feux de brousse, creation deun comite de control pour les savanes, creer les voies deacces.;Population locale et chefferie.; ;0;;0;0;0;;
319;375;110103;Carrieres  de  sable;Ressource sous exploitee.;Population locale/construction de certains logements et infrastructures.;Importante quantite de sable.;Difficulte e exploiter la ressource.;Suivi des populations dans leexploitation de la ressource.;Population locale et chefferie.; ;0;;0;0;0;;
320;376;110103;Lateritique ;Ressource sous exploitee.;Entreprise/entretien des routes.;Importante quantite de laterite.;RAS;RAS;chefferie; ;0;;0;0;0;;
321;377;110103;Carriere deargile blanche;Population locale/poterie, peinture.;Population locale/poterie, peinture;Argile;Difficulte deacces e la ressource, manque de moyens deexploitation.;Ouverture des voies deacces, dotation des populations en moyens deexploitation.;Population locale.; ;0;;0;0;0;;
322;378;110103;Cours deeau;Abondance de produits halieutique.;Population riveraine/peche, bain lessive.;Importante quantite de produits halieutiques.;Assechement saisonnier des cours deeau, disparition deespeces halieutiques, manque de moyens deexploitation de la ressource .;Dotation des populations en moyens deexploitation des cours deeau (peche).;Acces libre pour les riverains; ;0;;0;0;0;;
323;379;110103;Rochers;Ressource inexploitee et abandonnee.;R A S;Grands rochers .;Acces difficile, manque des moyens et ignorance des methodes deexploitations de la ressource.;Ouverture des voies deacces, formation des populations sur les methodes deexploitation de la ressource, appui financier et materiel.;R A S; ;0;;0;0;0;;
324;380;110103;Fleuve ;Abondance deeau et potentiel halieutique.;Population locale;Abondance de sable et de produit halieutiques.;manque des moyens financiers et materiels modernes de peche.;Ouverture des voies deacces, dotation en moyens financiers et de materiels deexploitations modernes ;Acces libre; ;0;;0;0;0;;
325;381;110103;Marecages ;Ressource sous exploitee, Abondance de potentiel.;Population locale/Agriculture, Ramassage, Cueillette.;Sol fertile, Raphia, PFNL.;Acces difficile, Manque des moyens deexploitations, inondation.;Ouverture des voies deacces, dotation en moyens deexploitations.;Acces libre; ;0;;0;0;0;;
326;382;110103;Ressources minieres;R A S;R A S;Petrole, Or, Diamant, Mercure.;Ressource inexploitee;Identification et mise en valeur de la ressource.;R A S; ;0;;0;0;0;;
327;383;110209;Carrieres de pierres;;Travaux de construction;Important (Edzen, Nkol Ngok, Ntobo, Mbilmana, Ndong e Elang, Nkol Melok, Lekoubek, Ondondo 1, Ondondo 2, Nkoldjama 2, Ekoum Ondom, Mekimebodo, Melik (Nkolbogo), Nkolbogo 1, Nkoldzama 1, Nkolzomo)Moyen (Nsan Mendouga, Nkolayos, Nkolbogo 3, Womkoa)Faible (Nkolmeki, Nkolonguene, Nkolve, Polo, Mengama,);"Difficulte d'acces aux sites;Outillage rudimentaire ; insuffisance de materiel pour exploitation ;Exploitation artisanaleInsuffisance des moyens financiers construire des carrieres";"Amenagement des voies d'acces aux gisements; ouverture des carrieres modernes d'exploitation";Contrele par la commune et le ministereLibre aux populations autochtones; ;0;;0;0;0;;
328;384;110209;Ressources minieres;;Pas encore exploite, en etude;Non determine;Longues periodes deetudes;Exploitation si jugees exploitables;Libre; ;0;;0;0;0;;
329;385;110105;Hydrographie;Plusieurs rivieres et sources intarissables;Peche artisanaleEau de consommation;Poissonssable;Sources non amenagees;;; ;0;;0;0;0;;
330;386;110105;Ressources naturelles;Plusieurs bas fonds;Exploitation archaeque et manuellePisciculture;Carrieres de sable, de pierres et de lateriteMarecages;Enclavement de la Commune;;; ;0;;0;0;0;;
331;387;110208;Services d'encadrement technique;;;Des Projets gouvernementaux accompagnent la population de la Commune e la mise en euvre de differents sous projets communautaires : PNVRA, Projet de relance de la culture du Bananier plantain, ProgrammeNational de Developpement des Racines et Tubercules, PDFP etceDes structures deconcentrees des Ministeres Sectoriels de leetat sont representees sur le territoire communal : Administration territoriale, Defense, Agriculture, elevage, education de Base, Enseignement secondaire, Affaires sociales, Sante, eDes Missions religieuses : catholiques.;Absence de transparence entre les structures installees et la communeAbsence de synergie deintervention des differents projets sollicitant les memes acteurs;;; ;0;;0;0;0;;
332;388;110202;Cours deeau;;Population locale;Existence des ressources halieutiques e (Poissons, crabes, huitres, e)et differents animaux aquatiquesPossibilite deintensifier la creation des etangs;;;Acces libre; ;0;;0;0;0;;
333;389;110209;Carriere deargile blanche;;Non exploite;Faible;Non exploitation;;Libre; ;0;;0;0;0;;
335;391;170103;Carrieres  de  sable;;Exploitation permanente;"500 camions par saison BESSA I et II ;NGOSSONG (chef quartier ;confluent  MIFI-MEVOBO)";"Extracteur de sable non identifies aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sablecertains sites sont deacces difficile (quatre sites : Carriere des hippopotames, Carriere NGOSSONG (chef de quartier) ; Carriere confluent MIFI-MEVOBO),Carriere Lycee Technique chez FOZOP";Prendre une mesure au niveau de la mairie pour rentabiliser les carrieres de sable identifier et recenser les extracteurs de sable definir le mode de gestion des carrieres recruter ou affecter un agent de la mairie e la gestion des carrieres de sable Amenager les voies deacces;Acces libre; ;0;;0;0;0;;
336;392;170103;Carrieres  de  sable;;Exploitation permanente;300 camions par saisonLycee technique (GALIM-CENTRE), Carriere des hippopotames et King-place II B (BAGAM);"Extracteur de sable non identifies aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sablecertains sites sont deacces difficile (quatre sites : Carriere des hippopotames, Carriere NGOSSONG (chef de quartier) ; Carriere confluent MIFI-MEVOBO),Carriere Lycee Technique chez FOZOP";Prendre une mesure au niveau de la mairie pour rentabiliser les carrieres de sable identifier et recenser les extracteurs de sable definir le mode de gestion des carrieres recruter ou affecter un agent de la mairie e la gestion des carrieres de sable Amenager les voies deacces;Acces libre ; ;0;;0;0;0;;
337;393;170103;Carrieres  de  sable;;Exploitation permanente;200 camions par saisonMENADZO, Carriere des brouettes, KIENEGHANG NDEKWONDE;"Extracteur de sable non identifies aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sablecertains sites sont deacces difficile (quatre sites : Carriere des hippopotames, Carriere NGOSSONG (chef de quartier) ; Carriere confluent MIFI-MEVOBO),Carriere Lycee Technique chez FOZOP";Prendre une mesure au niveau de la mairie pour rentabiliser les carrieres de sable identifier et recenser les extracteurs de sable definir le mode de gestion des carrieres recruter ou affecter un agent de la mairie e la gestion des carrieres de sable Amenager les voies deacces;Acces libre; ;0;;0;0;0;;
338;394;170103;Carrieres  de  sable;;Saisonnier;20 camions par saisonYEYEP chezBAPE, Carriere chez TABROKA ;"Extracteur de sable non identifies aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sablecertains sites sont deacces difficile (quatre sites : Carriere des hippopotames, Carriere NGOSSONG (chef de quartier) ; Carriere confluent MIFI-MEVOBO),Carriere Lycee Technique chez FOZOP";Prendre une mesure au niveau de la mairie pour rentabiliser les carrieres de sable identifier et recenser les extracteurs de sable definir le mode de gestion des carrieres recruter ou affecter un agent de la mairie e la gestion des carrieres de sable Amenager les voies deacces;Acces libre ; ;0;;0;0;0;;
334;395;170103;Carrieres  de  sable;;Exploitation permanente;10 camions par saisonMBEFOU (carriere relais);"Extracteur de sable non identifies aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sablecertains sites sont deacces difficile (quatre sites : Carriere des hippopotames, Carriere NGOSSONG (chef de quartier) ; Carriere confluent MIFI-MEVOBO),Carriere Lycee Technique chez FOZOP";Prendre une mesure au niveau de la mairie pour rentabiliser les carrieres de sable identifier et recenser les extracteurs de sable definir le mode de gestion des carrieres recruter ou affecter un agent de la mairie e la gestion des carrieres de sable Amenager les voies deacces;Acces libre; ;0;;0;0;0;;
339;396;170103;Carrieres  de  sable;;Saisonnier;50 camions par saisonCarriere deEMMA sur la route  deAWING, NELEUP sur la route du CES de BAMENYAM, Lycee Technique chez FOZOP ;"Extracteur de sable non identifies aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sablecertains sites sont deacces difficile (quatre sites : Carriere des hippopotames, Carriere NGOSSONG (chef de quartier) ; Carriere confluent MIFI-MEVOBO),Carriere Lycee Technique chez FOZOP";Prendre une mesure au niveau de la mairie pour rentabiliser les carrieres de sable identifier et recenser les extracteurs de sable definir le mode de gestion des carrieres recruter ou affecter un agent de la mairie e la gestion des carrieres de sable Amenager les voies deacces;Acces libre ; ;0;;0;0;0;;
340;397;170103;Carrieres de pierres;;Exploitation permanente;50 camions par anChez CALMET et Marche mondial;"Extracteur de sable non identifies Aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sablecertains sites sont deacces difficile (quatre sites : Carriere des hippopotames, Carriere NGOSSONG (chef de quartier) ; Carriere confluent MIFI-MEVOBO), Carriere Lycee Technique chez FOZOP ";Prendre une mesure au niveau de la mairie pour rentabiliser les carrieres de sable Identifier et recenser les extracteurs de sable Definir le mode de gestion des carrieres Recruter ou affecter un agent de la mairie e la gestion des carrieres de sable Amenager les voies deacces ;Proprietaire; ;0;;0;0;0;;
341;398;170103;Carrieres de pierres;;;100 camions par anMBESSA (vers BALIGAM), FOUOYA (sur la route de FOUOYA);;;Proprietaire; ;0;;0;0;0;;
342;399;170103;Lateritique ;;;Niveau du pont MENUDZE(2 ha);"Extracteur de sable non identifies Aucune mesure prise au niveau de mairie pour rentabilise les carrieres de sableCertains sites sont deacces difficile (quatre sites : Carriere des hippopotames, Carriere NGOSSONG (chef de quartier) ; Carriere confluent MIFI-MEVOBO), Carriere Lycee Technique chez FOZOP ";Prendre une mesure au niveau de la mairie pour rentabiliser les carrieres de sable Identifier et recenser les extracteurs de sable Definir le mode de gestion des carrieres Recruter ou affecter un agent de la mairie e la gestion des carrieres de sable Amenager les voies deacces ;Famille Pang-yere; ;0;;0;0;0;;
343;400;170103;Carriere de Pouzzolane;;;50 ha Plus 10 haMont-Tsope , Colline TCHETOKOU;Ressources encore non valoriseeAcces difficile;Merner les etudes pour valoriser la pouzzolane Amenager leacces;Acces libre; ;0;;0;0;0;;
344;401;170103;Forets;;Destruction, disparition des especes exploitables ;1000 haKapang (BATI e limite du VILLAGE MAFOTOH);Exploitation clandestine baisse de la biodiversite floristique ;Mettre sur pied un comite de surveillance de la foret et de reboisement;Chef superieur Bati; ;0;;0;0;0;;
345;402;170103;Lacs;;Baisse des ressources halieutiques ;1,8 milliards de m3Existence deun barrage de retenue deeauExistence deune vanneExistence deun centre touristique au barrage Est du groupement BAMENDJING, limite avec le departement du NOUN ;Baisse des ressources halieutiques Non versement de redevance par AES_SONEL e la commune de GALIM;Empoissonner les eaux du lac Examiner la possibilite de faire beneficier e la Commune de Galim des redevances issues de leexploitation des eaux par AES-SONEL ;Centre peche de BAMENDJING, AES _SONEL; ;0;;0;0;0;;
346;403;120202;Forets;On observe un debut de deforestation de certains villages;Plantations, bois de chauffe, bois deoeuvre, la chasse, construction, cueillette, ramassage des PFNL / Populations et exploitants forestiers;Abondance des especes fauniques et floristiques, sans oublier les plantes medicinales et les PFNL;Enclavement des pistes, absence de licence deexploitation de la part des forestiers et abattage illicite;Desenclaver les pistes, lutter contre la deforestation et regulariser leactivite deexploitation forestiere;Chefs traditionnels pour ce qui est des exploitants forestiers; ;0;;0;0;0;;
347;404;120202;Sable, pierre (granite), laterite;Deautres carrieres sont encore non exploitees;Construction et reprofilage des routes / Les riverains (hommes et jeunes) et les entreprises de BTP (PANTECHNIKI);Environ 90 % non exploite des carrieres de sables et laterites;Exploitation anarchique et sporadique des carrieres, absence de piste deacces et materiel deexploitation rudimentaire;Organisation de leexploitation des carrieres, ouverture des pistes et dotation en materiel adequat deexploitation;Chefs traditionnels Chefs chantiers des entreprises de BTP; ;0;;0;0;0;;
348;405;120202;Marecages ;Legere diminution des terres cultivables par leeffet de leexploitation miniere artisanale Perte considerable des cultures;Construction, chasse, ramassage des hannetons, vigne, peche, agriculture / Populations riveraines;Plus de 90 % de terres non encore cultivees, reserve deargile et presence de plusieurs PFNL;Presence deanimaux sauvages aquatiques, ignorance des techniques de cultures dans les bas fonds et absence de voies deacces;Promotion des techniques deagriculture dans les bas fonds, amenagement des digues, drainage de la zone et creation des voies deacces;Chef familial; ;0;;0;0;0;;
349;406;120202;Cours deeau;Diminution de poissons;Peche, chasse, lessive, vaisselle, traversee du fleuve Nyong / Populations riveraines;"Abondance des especes halieutiques, gisement de sable, argile ; kaolin";Retrecissement du Fleuve Nyong, tarissement des cours deeau, presence de la jacinthe et deanimaux aquatiques sauvages;Organisation des pecheurs (creation de GICs) et encadrement de ces derniers par les pouvoirs publics;Libre; ;0;;0;0;0;;
350;408;111001;Sols;Humidification excessive des sols.;Agriculture;Predominance de sols ferralitiques et hydromorphes.;Archaesme du materiel de travail, trouble du calendrier agricole, baisse de la production agricole.;Former les producteurs sur les methodes culturales adaptees au climat actuel, Appuyer les producteurs en materiel agricole.;Populations localesAcces contrele; ;0;;0;0;0;;
351;409;111001;Forets;Degradation due e la coupe illegale du bois et mauvaises pratiques agricoles.;Populations locales, Etat/collecte des PFL et PFNL, exploitation industrielle (foret communale, vente de coupe);Presence deune biodiversite floristiqueet faunique.;Exploitation anarchique et frauduleuse des PFL et PFNL.Exploitation anarchique des FC, baisse de la production agricole.;Creer des comites de vigilances dans les villages, legaliser leexploitation, denoncer les fraudeurs, Reboiser, creer des forets communautaires.;Etat ,populations, CommuneAcces contrele; ;0;;0;0;0;;
352;410;111001;Sable, pierre (granite), laterite;Menace de leenvironnement notamment au bord du Nyong.;Populations locales/ extraction;Populations locales, Etat/collecte des PFL et PFNL, exploitation industrielle (foret communale, vente de coupe).;Sous exploitation, Enclavement des carrieres existantes, archaesme du materiel deextraction, faible organisation des acteurs du secteur.;Promouvoir leexploitation du sable, Organiser et encadrer les acteurs du secteur, Desenclaver les carrieres existantes;PopulationsAcces libre; ;0;;0;0;0;;
353;411;111001;Rivieres;Baisse du niveau des eaux.;Populations locales/consommation et peche;Presence de plusieurs especes de poissons et de sources naturelles.;Faible rendement de la peche, insatisfaction des besoins en eau.;Organiser et encadrer les pecheurs, Promouvoir la pisciculture, Construire des puits et forages, Amenager les sources naturelles;PopulationsAcces libre; ;0;;0;0;0;;
354;412;111001;Sites naturels ;Sous exploitation;Visite;Palmier e 9 tetes, berges du Nyong.;Non amenagement des sites;Amenager lesdits sites;Populations localesAcces libre; ;0;;0;0;0;;
355;413;111001;Fleuve ;Baisse du niveau des eaux;Populations locales/ approvisionnement en eau et peche ;Presence de plusieurs especes de poissons, des sources naturelles et des berges touristiquement exploitable.;Faible rendement de la peche, insatisfaction des besoins en eau, non amenagement des sites naturels;Organiser et encadrer les pecheurs, Promouvoir la pisciculture, Construire des puits et forages, Amenager les sources naturelles et des sites touristiques.;PopulationsAcces libre; ;0;;0;0;0;;
356;414;170402;Carrieres de pierres;Exploitation anarchique par les populations;;2500 m3 par an;;Reorganiser leexploitation de la carriere;Population locale/Acces libre/Service des mines; ;0;;0;0;0;;
357;415;170402;Carrieres de pierres;Exploitation anarchique par les populations;;1980 m3;;Reorganiser leexploitation de la carriere;Population locale/Acces libre/Service des mines; ;0;;0;0;0;;
358;416;170402;Carrieres de pierres;;;;Cette carriere ne profite pas aux populations de la localiteLa mairie ne tire pas des profits sur cette carriere;Faire une descente pour evaluer le potentielReorganiser leexploitation;Particulier/Acces prive/Particulier; ;0;;0;0;0;;
359;417;170402;Bas fonds ;;;Inondations;;Elargir le lit deeauMorceler en parcelle pour exploitation par les populations;Non exploite; ;0;;0;0;0;;
360;418;110107;Sols;Presence de vastes etendus de terres arables, lateritiques, sablonneux, pierres, ferrallitiques, marecageux;;Favorable aux cultures constructions, travaux publics.;"Degradation des sols avec des zones de forte pente et erosions cree par le denuement du sol ;Baisse de la production e cause de la baisse de fertilite et aux mauvaises pratiques agricoles";;; ;0;;0;0;0;;
361;419;110107;Climat;Climat equatorial de type guineen e quatre saisons;;Favorable e leagriculture, leelevage;Perturbation climatique;;; ;0;;0;0;0;;
362;420;110107;Hydrographie;Presence de nombreux cours deeau permanent;;Pratique de la peche, de leagriculture irriguee et reponses des besoins en eau des populations.;Insuffisance de couverture du reseau hydrographique, exploitation non contrelee du sable fragilisant les berges, les cours deeau subissent- le phenomene deeutrophisation.;;; ;0;;0;0;0;;
363;421;110107;Relief;Bas fonds, plaines, montagnes.;;Potentiel touristique important, bas fond pour les cultures, maraecheres,;Les terrains accidentes et les collines constituent un handicape.;;; ;0;;0;0;0;;
364;422;110107;Faune;Faune riche et diversifiee en especes animales;;Source intarissable de proteines et deorigines deorigine animale.;Les mauvaise pratiques de la chasse et la non maitrise de leelevage des especes non conventionnels et la disparition progressive de certaines especes.;;; ;0;;0;0;0;;
365;423;110107;Flore;Presence de foret primaire, secondaire et tertiaire;;Disponibilite des especes medicinales et des produits forestiers non ligneux, du bois de chauffe et de materiaux de construction de base.;La recherche de terres arables et les feux de brousse de meme que leexploitation illicite des especes rares.;;; ;0;;0;0;0;;
366;424;180402;Forets;Degradation de la flore;Populations agricultureArtisanal, industriel;Important;Deforestation;Reboisement;MINFOF, MINEPDED, population chercheurs, GIC et associations; ;0;;0;0;0;;
367;425;180402;Cours deeau;Reduction du lit des grands cours deeau Assechement  du lit des  petits cours deeau ;Populations : petite peche, bain, lessive, vaisselle, boisson, extraction du sable  Artisanal ;Important  ;"Tarissement saisonnier de certaines sources ; Presence de maladies hydriques ; ";Sensibiliser e leutilisation hygienique des cours deeau ;Populations  ; ;0;;0;0;0;;
368;426;180402;Potentiel  touristique;Inexploite  ;Inexploite Artisanal;Important  ;Faible exploitation, faible mise en valeur ;Mise en valeur touristique de ces lieux et sites  ;Populations; ;0;;0;0;0;;
369;427;180402;Carrieres de pierres;Exploitation artisanale ;Populations  Artisanal ;Faible  ;Faible mise en valeur;Formation des exploitants, exploration miniere, amenagement des voies deacces ;"Populations ; Etat "; ;0;;0;0;0;;
370;428;180402;Rochers;Exploitation artisanale ;Populations  Artisanal  ;Important ;Faible mise en valeur Outillage rudimentaire ;Mise en valeur;Populations ; ;0;;0;0;0;;
371;429;180402;Marecages ;Exploitation artisanale ;PopulationsArtisanal ;Important  ;Faible amenagement des voies deacces Assechement  Baisse de la production agricole ;Mise en valeur ;"Populations ; Etat "; ;0;;0;0;0;;
372;430;111005;Forets;Degradation due e la coupe illegale du bois et mauvaises pratiques agricoles ;Populations locales, Etat. Cultures, collecte des PFL et PFNL, forets communautaires ;Presence deune biodiversite floristique et faunique;Exploitation anarchique des FC, baisse de la production agricole;Creer des comites de vigilance dans les villages Denoncer les fraudeurs;Etat et populations Acces contrele ; ;0;;0;0;0;;
373;431;111005;Carrieres  de  sable;Instauration deun systeme deexploitation anarchique;Populations locales Extraction de sable pour constructions;Presence de plusieurs varietes de sable;Difficultes deexploitation des carrieres de sable;Organiser la communaute Se rapprocher des services du MINMIDT;Populations Acces libre ; ;0;;0;0;0;;
374;432;111005;Rivieres;RAS ;Populations locales Approvisionnement en eau et peche. ;Presence de plusieurs especes de poissons ;Faible developpement de la peche;Organiser les pecheurs en GIC et Association;PopulationsAcces libre ; ;0;;0;0;0;;
375;433;111005;Fleuve ;RAS ;Populations locales Approvisionnement en eau et peche. ;Presence de plusieurs especes de poissons;Faible developpement de la peche ;Organiser les pecheurs en GIC et Association;PopulationsAcces libre ; ;0;;0;0;0;;
376;434;111005;Sites naturels ;RAS ;Populations locales, quai deembarquement des pirogues;Possibilite de developper leecotourisme;Faible exploitation des sites ;Creer des sites touristiques ;Populations locales Acces contrele; ;0;;0;0;0;;
380;439;111004;Carrieres de pierres;Exploitation artisanale et tres reduite;Non exploitees;Existence des pierres sur le flanc de montagneetendu Moyen;Acces difficile e la zone pierreuseManque deinitiativeSite non amenage;Mener une etude deexploitation;Acces libre; ;0;;0;0;0;;
379;440;111004;Sable, pierre (granite), laterite;De couleur grise presence dans les fonds des cours deeau;Exploitation anarchique par les populations;Existence du sable dans les carrieres et cours deeau;Acces difficile aux cours deeau;Mener une etude deexploitationAmenager leacces aux cours deeauFormaliser leactivite;Acces libre; ;0;;0;0;0;;
378;441;111004;Cours deeau;Eau deapparence claire, avec la presence des plantes aquatiques qui expriment la forte teneur de leeau en azote et autres elements mineraux.;Extraction de sableUsage domestiqueAgriculteurs;Possibilite de captage pour irrigation (pisciculture, agriculture);Faible exploitation des zones marecageusesDifficulte deexploitation des sources en eau potablePollution par les pesticides (utilisees par les pecheurs et les agriculteurs) Voie deacces difficile;elaborer un projet de gestion des marecages pour leagriculture et la piscicultureAmenager les sources deeau potableConstruction des infrastructures de franchissementSensibiliser les pecheurs sur les dangers lies e pollution des cours deeau;Acces libre; ;0;;0;0;0;;
377;442;111004;Vegetattion;Elle est constituee par les arbres fruitiers, savane arbustique, Manguiers, Oranger, rehnier, citronnier, anacardier, les plantes medicinales..;Agriculteurs, scieurs,populationsriveraines, forestiers,;Presence des especes ligneuses et non ligneuses;Exploitation anarchique des foretsInsuffisance de domestication des especesInsuffisance deexploitation de grande et moyenne importance;Sensibiliser les populations riveraines e la bonne gestion de leur patrimoine (domestication des especes,installation des barrieres de contrele des produits forestiers, formuler les demandes pour leobtention des forets communautaires)Sensibiliser les elites e creer les exploitations dans les villages;Acceslibre; ;0;;0;0;0;;
381;443;111004;Forets;Sol fertile et peu affecte par leerosion,presence de quelques especes;Cultures vivriereschasseprelevement des plantes medicinalesCultures maraecheres Exploitation des PFNL et fauniques (chasse);Possibilite de creation des forets communautaires et communales;DeboisementExploitation illegale de la fauneFeux de brousse et du bois de chauffeNon maetrise des techniques ameliorees de productiondifficulte deacces;Mise en place des forets communalesSensibilisation contre les feux de broussePratique de leAgroforesteriesensibiliser les populations sur leimportance de la foret;Acces libre; ;0;;0;0;0;;
382;444;111004;Foret dense et marecages;Dans la reserve forestiere de Ngambouo,le lac de Bamendjing et le fleuve Nyong et Soeo;Chasse, herissons,des biches, des biches cheval, des singes (rouges surtout, noirs,jaunes, Mancei), des porcs-epics (rat de Gambie), des lievres, des ecureuils, des antilopes, des pangolins, des hyenes, des varans, des viperes.;Moyen;Diminution severe des especes fauniques;Appliquer les textes de protection des especes fauniques;Acces libre; ;0;;0;0;0;;
